date,Pourcentage,date_fr
2022-01-01,60.98,01/01/2022
2022-01-02,60.69,02/01/2022
2022-01-03,60.29,03/01/2022
2022-01-04,59.84,04/01/2022
2022-01-05,58.82,05/01/2022
2022-01-06,57.97,06/01/2022
2022-01-07,57.24,07/01/2022
2022-01-08,56.39,08/01/2022
2022-01-09,55.73,09/01/2022
2022-01-10,54.84,10/01/2022
2022-01-11,54.05,11/01/2022
2022-01-12,53.14,12/01/2022
2022-01-13,52.2,13/01/2022
2022-01-14,51.07,14/01/2022
2022-01-15,49.83,15/01/2022
2022-01-16,49.05,16/01/2022
2022-01-17,48.15,17/01/2022
2022-01-18,47.14,18/01/2022
2022-01-19,46.18,19/01/2022
2022-01-20,45.07,20/01/2022
2022-01-21,44.26,21/01/2022
2022-01-22,43.16,22/01/2022
2022-01-23,42.49,23/01/2022
2022-01-24,41.4,24/01/2022
2022-01-25,40.35,25/01/2022
2022-01-26,39.51,26/01/2022
2022-01-27,38.59,27/01/2022
2022-01-28,37.68,28/01/2022
2022-01-29,36.94,29/01/2022
2022-01-30,36.22,30/01/2022
2022-01-31,35.16,31/01/2022
2022-02-01,34.53,01/02/2022
2022-02-02,33.89,02/02/2022
2022-02-03,33.2,03/02/2022
2022-02-04,32.56,04/02/2022
2022-02-05,32.01,05/02/2022
2022-02-06,31.44,06/02/2022
2022-02-07,30.78,07/02/2022
2022-02-08,30.14,08/02/2022
2022-02-09,29.42,09/02/2022
2022-02-10,28.62,10/02/2022
2022-02-11,27.85,11/02/2022
2022-02-12,26.99,12/02/2022
2022-02-13,26.12,13/02/2022
2022-02-14,25.65,14/02/2022
2022-02-15,24.8,15/02/2022
2022-02-16,23.99,16/02/2022
2022-02-17,23.38,17/02/2022
2022-02-18,22.76,18/02/2022
2022-02-19,22.14,19/02/2022
2022-02-20,21.57,20/02/2022
2022-02-21,20.95,21/02/2022
2022-02-22,20.33,22/02/2022
2022-02-23,20.17,23/02/2022
2022-02-24,19.91,24/02/2022
2022-02-25,19.68,25/02/2022
2022-02-26,19.4,26/02/2022
2022-02-27,19.19,27/02/2022
2022-02-28,18.97,28/02/2022
2022-03-01,18.79,01/03/2022
2022-03-02,18.66,02/03/2022
2022-03-03,18.4,03/03/2022
2022-03-04,18.09,04/03/2022
2022-03-05,17.82,05/03/2022
2022-03-06,17.56,06/03/2022
2022-03-07,17.33,07/03/2022
